Layer_1,Layer_2,Keyword,Stem
Environment,GHG Emissions,greenhouse,greenhous
Environment,GHG Emissions,gas,gas
Environment,GHG Emissions,GHG,GHG
Environment,GHG Emissions,truck,truck
Environment,GHG Emissions,combustion,combust
Environment,GHG Emissions,fuel,fuel
Environment,GHG Emissions,biogenic,biogen
Environment,GHG Emissions,Kyoto,Kyoto
Environment,GHG Emissions,Protocol,Protocol
Environment,GHG Emissions,carbon,carbon
Environment,GHG Emissions,dioxide,dioxid
Environment,GHG Emissions,CO2,CO2
Environment,GHG Emissions,methane,methan
Environment,GHG Emissions,CH4,CH4
Environment,GHG Emissions,nitrous,nitrous
Environment,GHG Emissions,N2O,N2O
Environment,GHG Emissions,hydrofluorocarbon,hydrofluorocarbon
Environment,GHG Emissions,HFC,HFC
Environment,GHG Emissions,perfluorocarbon,perfluorocarbon
Environment,GHG Emissions,PFC,PFC
Environment,GHG Emissions,hexafluoride,hexafluorid
Environment,GHG Emissions,SF6,SF6
Environment,GHG Emissions,trifluoride,trifluorid
Environment,GHG Emissions,NF3,NF3
Environment,Air Quality,air,air
Environment,Air Quality,stationary,stationari
Environment,Air Quality,factories,factori
Environment,Air Quality,power,power
Environment,Air Quality,plant,plant
Environment,Air Quality,vehicles,vehicl
Environment,Air Quality,plane,plane
Environment,Air Quality,emissions,emiss
Environment,Air Quality,airborne,airborn
Environment,Air Quality,oxides,oxid
Environment,Air Quality,nitrogen,nitrogen
Environment,Air Quality,Nox,Nox
Environment,Air Quality,sulfur,sulfur
Environment,Air Quality,Sox,Sox
Environment,Air Quality,volatile,volatil
Environment,Air Quality,compounds,compound
Environment,Air Quality,VOCs,VOCs
Environment,Air Quality,heavy,heavi
Environment,Air Quality,metals,metal
Environment,Air Quality,particulate,particul
Environment,Air Quality,matter,matter
Environment,Air Quality,chlorofluorocarbons,chlorofluorocarbon
Environment,Energy Management,energy,energi
Environment,Energy Management,provision,provis
Environment,Energy Management,grid,grid
Environment,Energy Management,reliance,relianc
Environment,Water & Wastewater Management ,water,water
Environment,Water & Wastewater Management ,wastewater,wastewat
Environment,Water & Wastewater Management ,discharge,discharg
Environment,Water & Wastewater Management ,groundwater,groundwat
Environment,Water & Wastewater Management ,aquifer,aquif
Environment,Water & Wastewater Management ,pollution,pollut
Environment,Waste & Hazardous Materials Management,hazardous,hazard
Environment,Waste & Hazardous Materials Management,waste,wast
Environment,Waste & Hazardous Materials Management,solid,solid
Environment,Waste & Hazardous Materials Management,agriculture,agricultur
Environment,Waste & Hazardous Materials Management,treatment,treatment
Environment,Waste & Hazardous Materials Management,handling,handl
Environment,Waste & Hazardous Materials Management,storage,storag
Environment,Waste & Hazardous Materials Management,disposal,dispos
Environment,Ecological Impacts,ecosystems,ecosystem
Environment,Ecological Impacts,biodiversity,biodivers
Environment,Ecological Impacts,land,land
Environment,Ecological Impacts,exploration,explor
Environment,Ecological Impacts,natural,natur
Environment,Ecological Impacts,extraction,extract
Environment,Ecological Impacts,construction,construct
Environment,Ecological Impacts,habitat,habitat
Environment,Ecological Impacts,deforestation,deforest
Environment,Ecological Impacts,site,site
Environment,Ecological Impacts,remediation,remedi
Social Capital,Human Rights & Community Relations,relationship,relationship
Social Capital,Human Rights & Community Relations,businesses,busi
Social Capital,Human Rights & Community Relations,communities,communiti
Social Capital,Human Rights & Community Relations,core,core
Social Capital,Human Rights & Community Relations,indigenous,indigen
Social Capital,Human Rights & Community Relations,peoples,peopl
Social Capital,Human Rights & Community Relations,environmental,environment
Social Capital,Human Rights & Community Relations,justice,justic
Social Capital,Human Rights & Community Relations,cultivation,cultiv
Social Capital,Customer Privacy,secondary,secondari
Social Capital,Customer Privacy,purposes,purpos
Social Capital,Customer Privacy,affiliates,affili
Social Capital,Customer Privacy,obtaining,obtain
Social Capital,Customer Privacy,consent,consent
Social Capital,Customer Privacy,opt-in,opt-in
Social Capital,Data Security,collection,collect
Social Capital,Data Security,retention,retent
Social Capital,Data Security,confidential,confidenti
Social Capital,Data Security,proprietary,proprietari
Social Capital,Data Security,user,user
Social Capital,Data Security,data,data
Social Capital,Data Security,breach,breach
Social Capital,Data Security,identifiable,identifi
Social Capital,Data Security,information,inform
Social Capital,Data Security,PII,PII
Social Capital,Data Security,exposed,expos
Social Capital,Data Security,IT,IT
Social Capital,Data Security,infrastructure,infrastructur
Social Capital,Data Security,record,record
Social Capital,Data Security,keeping,keep
Social Capital,Data Security,security,secur
Social Capital,Access & Affordability,groups,group
Social Capital,Access & Affordability,needs,need
