Start,End,Comment
29/02/1968,31/12/2019,Total2019
29/02/1968,31/12/2020,Total2020
31/01/1973,31/12/1982,High Inflation
29/02/1968,31/12/2007,Pre-GFC
31/01/2008,31/12/2009,GFC
31/01/2010,31/12/2019,Post-GFC2019
31/01/2010,31/12/2020,Post-GFC2020
31/01/2020,31/12/2020,Covid
31/12/1969,30/11/1970,Recession
31/12/1970,31/10/1973,Expansion
30/11/1973,31/03/1975,Recession
30/04/1975,31/12/1979,Expansion
31/01/1980,31/07/1980,Recession
31/08/1980,30/06/1981,Expansion
31/07/1981,30/11/1982,Recession
31/12/1982,30/06/1990,Expansion
31/07/1990,31/03/1991,Recession
30/04/1991,28/02/2001,Expansion
31/03/2001,30/11/2001,Recession
31/12/2001,30/11/2007,Expansion
31/12/2007,30/06/2009,Recession
31/07/2009,31/12/2019,Expansion
29/02/1968,31/01/1973,Rolling_Start
31/03/1968,28/02/1973,Rolling 2
30/04/1968,31/03/1973,Rolling 3
31/05/1968,30/04/1973,Rolling 4
30/06/1968,31/05/1973,Rolling 5
31/07/1968,30/06/1973,Rolling 6
31/08/1968,31/07/1973,Rolling 7
30/09/1968,31/08/1973,Rolling 8
31/10/1968,30/09/1973,Rolling 9
30/11/1968,31/10/1973,Rolling 10
31/12/1968,30/11/1973,Rolling 11
31/01/1969,31/12/1973,Rolling 12
28/02/1969,31/01/1974,Rolling 13
31/03/1969,28/02/1974,Rolling 14
30/04/1969,31/03/1974,Rolling 15
31/05/1969,30/04/1974,Rolling 16
30/06/1969,31/05/1974,Rolling 17
31/07/1969,30/06/1974,Rolling 18
31/08/1969,31/07/1974,Rolling 19
30/09/1969,31/08/1974,Rolling 20
31/10/1969,30/09/1974,Rolling 21
30/11/1969,31/10/1974,Rolling 22
31/12/1969,30/11/1974,Rolling 23
31/01/1970,31/12/1974,Rolling 24
28/02/1970,31/01/1975,Rolling 25
31/03/1970,28/02/1975,Rolling 26
30/04/1970,31/03/1975,Rolling 27
31/05/1970,30/04/1975,Rolling 28
30/06/1970,31/05/1975,Rolling 29
31/07/1970,30/06/1975,Rolling 30
31/08/1970,31/07/1975,Rolling 31
30/09/1970,31/08/1975,Rolling 32
31/10/1970,30/09/1975,Rolling 33
30/11/1970,31/10/1975,Rolling 34
31/12/1970,30/11/1975,Rolling 35
31/01/1971,31/12/1975,Rolling 36
28/02/1971,31/01/1976,Rolling 37
31/03/1971,29/02/1976,Rolling 38
30/04/1971,31/03/1976,Rolling 39
31/05/1971,30/04/1976,Rolling 40
30/06/1971,31/05/1976,Rolling 41
31/07/1971,30/06/1976,Rolling 42
31/08/1971,31/07/1976,Rolling 43
30/09/1971,31/08/1976,Rolling 44
31/10/1971,30/09/1976,Rolling 45
30/11/1971,31/10/1976,Rolling 46
31/12/1971,30/11/1976,Rolling 47
31/01/1972,31/12/1976,Rolling 48
29/02/1972,31/01/1977,Rolling 49
31/03/1972,28/02/1977,Rolling 50
30/04/1972,31/03/1977,Rolling 51
31/05/1972,30/04/1977,Rolling 52
30/06/1972,31/05/1977,Rolling 53
31/07/1972,30/06/1977,Rolling 54
31/08/1972,31/07/1977,Rolling 55
30/09/1972,31/08/1977,Rolling 56
31/10/1972,30/09/1977,Rolling 57
30/11/1972,31/10/1977,Rolling 58
31/12/1972,30/11/1977,Rolling 59
31/01/1973,31/12/1977,Rolling 60
28/02/1973,31/01/1978,Rolling 61
31/03/1973,28/02/1978,Rolling 62
30/04/1973,31/03/1978,Rolling 63
31/05/1973,30/04/1978,Rolling 64
30/06/1973,31/05/1978,Rolling 65
31/07/1973,30/06/1978,Rolling 66
31/08/1973,31/07/1978,Rolling 67
30/09/1973,31/08/1978,Rolling 68
31/10/1973,30/09/1978,Rolling 69
30/11/1973,31/10/1978,Rolling 70
31/12/1973,30/11/1978,Rolling 71
31/01/1974,31/12/1978,Rolling 72
28/02/1974,31/01/1979,Rolling 73
31/03/1974,28/02/1979,Rolling 74
30/04/1974,31/03/1979,Rolling 75
31/05/1974,30/04/1979,Rolling 76
30/06/1974,31/05/1979,Rolling 77
31/07/1974,30/06/1979,Rolling 78
31/08/1974,31/07/1979,Rolling 79
30/09/1974,31/08/1979,Rolling 80
31/10/1974,30/09/1979,Rolling 81
30/11/1974,31/10/1979,Rolling 82
31/12/1974,30/11/1979,Rolling 83
31/01/1975,31/12/1979,Rolling 84
28/02/1975,31/01/1980,Rolling 85
31/03/1975,29/02/1980,Rolling 86
30/04/1975,31/03/1980,Rolling 87
31/05/1975,30/04/1980,Rolling 88
30/06/1975,31/05/1980,Rolling 89
31/07/1975,30/06/1980,Rolling 90
31/08/1975,31/07/1980,Rolling 91
30/09/1975,31/08/1980,Rolling 92
31/10/1975,30/09/1980,Rolling 93
30/11/1975,31/10/1980,Rolling 94
31/12/1975,30/11/1980,Rolling 95
31/01/1976,31/12/1980,Rolling 96
29/02/1976,31/01/1981,Rolling 97
31/03/1976,28/02/1981,Rolling 98
30/04/1976,31/03/1981,Rolling 99
31/05/1976,30/04/1981,Rolling 100
30/06/1976,31/05/1981,Rolling 101
31/07/1976,30/06/1981,Rolling 102
31/08/1976,31/07/1981,Rolling 103
30/09/1976,31/08/1981,Rolling 104
31/10/1976,30/09/1981,Rolling 105
30/11/1976,31/10/1981,Rolling 106
31/12/1976,30/11/1981,Rolling 107
31/01/1977,31/12/1981,Rolling 108
28/02/1977,31/01/1982,Rolling 109
31/03/1977,28/02/1982,Rolling 110
30/04/1977,31/03/1982,Rolling 111
31/05/1977,30/04/1982,Rolling 112
30/06/1977,31/05/1982,Rolling 113
31/07/1977,30/06/1982,Rolling 114
31/08/1977,31/07/1982,Rolling 115
30/09/1977,31/08/1982,Rolling 116
31/10/1977,30/09/1982,Rolling 117
30/11/1977,31/10/1982,Rolling 118
31/12/1977,30/11/1982,Rolling 119
31/01/1978,31/12/1982,Rolling 120
28/02/1978,31/01/1983,Rolling 121
31/03/1978,28/02/1983,Rolling 122
30/04/1978,31/03/1983,Rolling 123
31/05/1978,30/04/1983,Rolling 124
30/06/1978,31/05/1983,Rolling 125
31/07/1978,30/06/1983,Rolling 126
31/08/1978,31/07/1983,Rolling 127
30/09/1978,31/08/1983,Rolling 128
31/10/1978,30/09/1983,Rolling 129
30/11/1978,31/10/1983,Rolling 130
31/12/1978,30/11/1983,Rolling 131
31/01/1979,31/12/1983,Rolling 132
28/02/1979,31/01/1984,Rolling 133
31/03/1979,29/02/1984,Rolling 134
30/04/1979,31/03/1984,Rolling 135
31/05/1979,30/04/1984,Rolling 136
30/06/1979,31/05/1984,Rolling 137
31/07/1979,30/06/1984,Rolling 138
31/08/1979,31/07/1984,Rolling 139
30/09/1979,31/08/1984,Rolling 140
31/10/1979,30/09/1984,Rolling 141
30/11/1979,31/10/1984,Rolling 142
31/12/1979,30/11/1984,Rolling 143
31/01/1980,31/12/1984,Rolling 144
29/02/1980,31/01/1985,Rolling 145
31/03/1980,28/02/1985,Rolling 146
30/04/1980,31/03/1985,Rolling 147
31/05/1980,30/04/1985,Rolling 148
30/06/1980,31/05/1985,Rolling 149
31/07/1980,30/06/1985,Rolling 150
31/08/1980,31/07/1985,Rolling 151
30/09/1980,31/08/1985,Rolling 152
31/10/1980,30/09/1985,Rolling 153
