,Start,End,Comment,AR_IC,LR_IC,DT_IC,RF_IC,XB_IC,AR_HR,LR_HR,DT_HR,RF_HR,XB_HR,AR_RMSFE,LR_RMSFE,DT_RMSFE,RF_RMSFE,XB_RMSFE
1,29/02/1968,31/12/2019,Total2019,0.02,0.09,0.06,0.08,0.05,0.51,0.52,0.52,0.53,0.58,0.044333014,0.04809915,0.050822687,0.045595029,0.045670528
2,NA,NA,Relative to AR:,0,0.07,0.04,0.06,0.03,0,0.01,0.01,0.02,0.07,1,1.084951,1.146385,1.028467,1.03017
21,29/02/1968,31/12/2020,Total2020,0.02,0.07,0.05,0.07,0.04,0.51,0.51,0.52,0.53,0.57,0.045086823,0.085128321,0.05165657,0.046412957,0.046443888
11,NA,NA,Relative to AR:,0,0.05,0.03,0.05,0.02,0,0,0.01,0.02,0.06,1,1.888098,1.145713,1.029413,1.030099
3,31/01/1973,31/12/1982,High Inflation,-0.07,0.14,0.13,0.1,0.01,0.59,0.6,0.59,0.58,0.51,0.048784761,0.053846204,0.053767009,0.049406941,0.050215997
12,NA,NA,Relative to AR:,0,0.21,0.2,0.17,0.08,0,0.01,0,-0.01,-0.08,1,1.103751,1.102127,1.012754,1.029338
4,29/02/1968,31/12/2007,Pre-GFC,-0.05,0.08,0.05,0.08,0.02,0.49,0.51,0.51,0.53,0.56,0.044528585,0.048045286,0.0514786,0.045225677,0.045814521
13,NA,NA,Relative to AR:,0,0.13,0.1,0.13,0.07,0,0.02,0.02,0.04,0.07,1,1.078976,1.15608,1.015655,1.028879
5,31/01/2008,31/12/2009,GFC,0.27,0.16,-0.02,-0.12,-0.12,0.5,0.62,0.54,0.54,0.46,0.067160292,0.077981549,0.077145379,0.079340745,0.074771102
14,NA,NA,Relative to AR:,0,-0.11,-0.29,-0.39,-0.39,0,0.12,0.04,0.04,-0.04,1,1.161126,1.148675,1.181364,1.113323
6,31/01/2010,31/12/2019,Post-GFC2019,0,-0.03,0.05,0.05,0.13,0.58,0.51,0.55,0.54,0.66,0.037242829,0.039757786,0.040514302,0.037008064,0.036499727
15,NA,NA,Relative to AR:,0,-0.03,0.05,0.05,0.13,0,-0.07,-0.03,-0.04,0.08,1,1.067529,1.087842,0.993696,0.980047
7,31/01/2010,31/12/2020,Post-GFC2020,-0.01,0.08,0.01,0,0.03,0.58,0.51,0.54,0.52,0.64,0.041998456,0.159309386,0.046239557,0.042380494,0.041754424
16,NA,NA,Relative to AR:,0,0.09,0.02,0.01,0.04,0,-0.07,-0.04,-0.06,0.06,1,3.79322,1.100982,1.009096,0.99419
8,31/01/2020,31/12/2020,Covid,-0.08,0.14,-0.1,-0.13,-0.24,0.5,0.5,0.42,0.33,0.5,0.074379362,0.513193403,0.084291022,0.077853712,0.076520913
17,NA,NA,Relative to AR:,0,0.22,-0.02,-0.05,-0.16,0,0,-0.08,-0.17,0,1,6.899675,1.133258,1.046711,1.028792
9,31/12/1969,30/11/1970,Recession,-0.29,-0.36,0.45,-0.15,0.01,0.5,0.42,0.75,0.42,0.33,0.055375244,0.057748079,0.049345575,0.056619284,0.057645714
18,NA,NA,Relative to AR:,0,-0.07,0.74,0.14,0.3,0,-0.08,0.25,-0.08,-0.17,1,1.04285,0.891113,1.022466,1.041002
10,31/12/1970,31/10/1973,Expansion,-0.1,0.16,0.06,0.25,0.27,0.37,0.51,0.51,0.63,0.57,0.031374787,0.033711039,0.038825889,0.030965706,0.030056711
19,NA,NA,Relative to AR:,0,0.26,0.16,0.35,0.37,0,0.14,0.14,0.26,0.2,1,1.074463,1.237487,0.986961,0.957989
111,30/11/1973,31/03/1975,Recession,-0.2,0.43,0,0.14,0.11,0.65,0.71,0.59,0.76,0.53,0.077626252,0.065947791,0.081653838,0.073180815,0.076101049
110,NA,NA,Relative to AR:,0,0.63,0.2,0.34,0.31,0,0.06,-0.06,0.11,-0.12,1,0.849555,1.051884,0.942733,0.980352
121,30/04/1975,31/12/1979,Expansion,0.06,0.13,0.11,0.01,-0.09,0.65,0.58,0.54,0.51,0.53,0.039157818,0.049451453,0.048889227,0.042481095,0.042156974
112,NA,NA,Relative to AR:,0,0.07,0.05,-0.05,-0.15,0,-0.07,-0.11,-0.14,-0.12,1,1.262876,1.248518,1.084869,1.076591
131,31/01/1980,31/07/1980,Recession,-0.16,-0.08,-0.17,0.03,-0.52,0.29,0.57,0.57,0.43,0.71,0.058427227,0.070437138,0.059354833,0.060539531,0.060048391
113,NA,NA,Relative to AR:,0,0.08,-0.01,0.19,-0.36,0,0.28,0.28,0.14,0.42,1,1.205553,1.015876,1.036153,1.027747
141,31/08/1980,30/06/1981,Expansion,0.13,-0.21,-0.01,0,-0.17,0.55,0.45,0.55,0.55,0.36,0.037328585,0.057045151,0.045645587,0.042485979,0.041811231
114,NA,NA,Relative to AR:,0,-0.34,-0.14,-0.13,-0.3,0,-0.1,0,0,-0.19,1,1.528189,1.222805,1.138162,1.120086
151,31/07/1981,30/11/1982,Recession,-0.19,0.07,0.51,0.23,0.17,0.59,0.59,0.71,0.59,0.41,0.052461085,0.055848233,0.047163026,0.050492814,0.052789714
