数据来源：高顿教育 CQF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,rank2008,rank2009,rank2010,rank2011,rank2012,rank2013,rank2014,rank2015,rank2016,rank2017,rank2018,rank2019,rank2020,rank2021,ave_rank
192,1,-0.4405,0.6737,0.0356,-0.2445,0.0725,0.1571,0.1527,0.2586,-0.2272,0.1711,-0.1905,0.2597,0.2766,-0.0545,50,117,100,154,79,81,150,162,200,120,60,216,213,190,135
229,11,-0.3489,1.1619,0.2424,-0.171,0.0589,0.1492,0.0607,0.2817,-0.1129,0.3495,-0.1958,0.4481,0.4471,-0.0051,13,1,3,32,97,85,211,154,113,19,67,93,157,142,84
198,21,-0.4344,0.5705,0.2475,-0.2865,0.0083,0.133,0.1125,0.4314,-0.2029,0.1343,-0.2725,0.4712,0.6234,0.0594,44,167,2,208,185,99,174,86,184,138,178,80,65,86,121
222,31,-0.3844,1.0433,0.1681,-0.2865,-0.0066,0.3093,0.1659,0.3282,-0.1446,-0.0678,-0.2711,0.7085,0.6381,0.0345,20,5,22,208,202,15,136,139,139,235,175,11,62,102,105
236,2001,-0.2452,0.3715,0.0433,-0.1177,0.0751,0.239,0.071,0.222,-0.0358,0.3483,-0.1681,0.3091,0.5405,-0.1158,6,228,90,12,75,28,205,178,42,20,41,201,109,233,104
221,2011,-0.3859,0.7933,0.0292,-0.2233,0.0198,0.1293,0.2258,0.5246,-0.1961,0.0229,-0.2488,0.3262,0.5251,0.0305,21,58,105,108,169,102,94,52,181,198,149,184,124,106,117
231,2021,-0.3147,0.3859,0.0438,-0.1205,0.0733,0.2439,0.0714,0.2363,-0.0336,0.3471,-0.1742,0.321,0.5218,-0.1216,11,226,87,13,77,27,204,170,40,21,44,190,125,234,104
170,20001,-0.4624,0.8362,0.0533,-0.2369,0.0419,0.2189,0.2336,0.5273,-0.0091,0.2597,-0.2403,0.4104,0.2286,0.1046,72,40,76,132,128,38,88,50,25,56,133,129,220,59,89
125,20003,-0.5006,0.7269,0.1,-0.1892,-0.1218,0.1241,0.0859,0.8147,0.0334,0.21,-0.3729,0.4303,0.6191,-0.0027,117,93,41,52,241,107,189,5,6,84,240,104,67,134,105
76,20005,-0.5379,0.8441,-0.0472,-0.1982,0.0244,-0.0252,0.1137,0.0879,-0.0059,0.3955,-0.2418,0.5426,0.7018,-0.1001,166,35,179,64,158,211,173,219,23,11,137,48,41,223,120
91,20009,-0.5272,0.8725,-0.0303,-0.2198,0.032,0.0894,0.4387,0.1862,-0.0485,0.2463,-0.3027,0.433,0.5741,0.1383,151,31,158,103,144,143,31,198,47,63,207,101,90,40,107
72,20010,-0.5417,0.9328,0.0034,-0.147,0.0993,0.3188,0.1424,0.448,-0.0353,0.122,-0.2535,0.5544,0.6278,0.0703,170,14,126,20,49,14,158,79,41,142,156,40,64,82,82
14,20011,-0.6261,0.896,-0.1167,-0.2357,0.0792,-0.0581,0.4605,0.0727,-0.0782,0.2245,-0.2253,0.3639,0.3341,-0.035,228,23,222,130,72,225,27,223,67,75,107,159,199,168,137
181,40001,-0.4544,0.432,0.0504,-0.2572,0.0347,0.052,0.1462,0.2774,-0.1889,0.0448,-0.2547,0.3957,0.4142,0.1834,61,211,79,173,139,173,155,155,174,187,158,140,169,27,142
15,40002,-0.6246,0.8511,-0.0665,-0.2564,0.0834,-0.0406,0.4899,0.1007,-0.1016,0.2297,-0.2687,0.3904,0.3377,-0.002,227,33,199,172,66,216,23,217,103,74,173,146,196,133,141
223,40004,-0.382,0.6064,0.0753,-0.1512,0.0403,0.0994,0.3481,0.4394,-0.1292,0.0575,-0.1824,0.5402,0.5399,-0.1046,19,149,54,21,132,130,41,82,125,181,53,49,110,227,98
143,40005,-0.484,0.7546,-0.013,-0.2249,0.0536,0.1659,0.1243,0.6171,-0.2735,0.2299,-0.2034,0.6688,0.3793,0.3243,99,76,142,111,107,70,169,22,224,73,80,15,187,9,98
34,40007,-0.5768,0.8431,0.0169,-0.2983,0.0341,-0.0116,0.2469,0.5888,-0.1376,-0.001,-0.241,0.5751,0.5262,0.1365,208,38,114,218,141,207,86,35,132,212,135,35,123,41,123
89,40008,-0.5282,0.676,-0.0288,-0.2587,-0.0171,0.0858,0.2956,0.4129,-0.0907,0.5429,-0.1899,0.4319,0.4058,0.0559,153,115,156,175,214,147,63,99,87,4,59,102,177,88,117
139,50001,-0.487,0.5545,-0.0556,-0.0794,0.0209,-0.0736,0.2324,0.0632,-0.0932,-0.0347,-0.1949,0.4602,0.4024,-0.0174,103,172,187,3,167,231,91,227,92,224,64,89,179,148,141
