,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY210305C00190000,2021-03-03 16:24:28,190.0,196.2,186.71,187.35,0.0,0.0,3.0,26,5.785159018554687,True,REGULAR,USD
1,SPY210305C00195000,2021-02-03 16:08:06,195.0,186.84,181.71,182.35,0.0,0.0,,6,5.585940517578125,True,REGULAR,USD
2,SPY210305C00200000,2021-02-17 15:15:15,200.0,191.0,176.71,177.35,0.0,0.0,1.0,37,5.386722016601562,True,REGULAR,USD
3,SPY210305C00205000,2021-02-16 05:01:31,205.0,186.06,171.71,172.35,0.0,0.0,,1,5.195316005859375,True,REGULAR,USD
4,SPY210305C00210000,2021-02-05 21:14:51,210.0,178.09,166.71,167.35,0.0,0.0,24.0,36,5.007816240234375,True,REGULAR,USD
5,SPY210305C00215000,2021-02-25 14:58:06,215.0,175.9,161.71,162.35,0.0,0.0,,10,4.828128964843749,True,REGULAR,USD
6,SPY210305C00220000,2021-02-05 21:14:51,220.0,168.1,156.71,157.35,0.0,0.0,48.0,48,4.648441689453126,True,REGULAR,USD
7,SPY210305C00235000,2021-02-03 20:11:36,235.0,148.03,141.72,142.35,0.0,0.0,,6,4.140629824218751,True,REGULAR,USD
8,SPY210305C00250000,2021-02-26 19:30:00,250.0,131.77,126.75,127.35,0.0,0.0,24.0,24,3.6757820605468754,True,REGULAR,USD
9,SPY210305C00260000,2021-02-26 19:30:00,260.0,121.78,116.76,117.35,0.0,0.0,24.0,24,3.3710953222656244,True,REGULAR,USD
10,SPY210305C00280000,2021-02-26 20:38:23,280.0,102.51,96.75,97.31,0.0,0.0,13.0,13,2.74219064453125,True,REGULAR,USD
11,SPY210305C00285000,2021-02-26 20:34:23,285.0,97.69,91.75,92.35,0.0,0.0,1.0,1,2.6230503173828126,True,REGULAR,USD
12,SPY210305C00300000,2021-03-01 20:37:36,300.0,89.75,76.75,77.35,0.0,0.0,4.0,82,2.2011763720703117,True,REGULAR,USD
13,SPY210305C00305000,2021-02-11 18:42:27,305.0,85.04,71.76,72.35,0.0,0.0,4.0,6,2.068364204101562,True,REGULAR,USD
14,SPY210305C00310000,2021-03-02 15:06:29,310.0,79.23,66.75,67.35,0.0,0.0,10.0,10,1.927734736328125,True,REGULAR,USD
15,SPY210305C00315000,2021-02-10 18:49:01,315.0,74.96,61.76,62.35,0.0,0.0,4.0,18,1.7958994580078125,True,REGULAR,USD
16,SPY210305C00320000,2021-02-18 14:56:30,320.0,63.62,56.76,57.35,0.0,0.0,1.0,8,1.6611345068359378,True,REGULAR,USD
17,SPY210305C00325000,2021-02-22 15:36:07,325.0,62.53,51.76,52.36,0.0,0.0,8.0,9,1.5312523437499999,True,REGULAR,USD
18,SPY210305C00330000,2021-02-23 14:54:55,330.0,49.17,46.77,47.36,-3.2300034,-6.1641283,5.0,35,1.4013701806640624,True,REGULAR,USD
19,SPY210305C00335000,2021-03-04 20:00:55,335.0,41.83,41.77,42.36,-7.049999,-14.423076,1.0,49,1.2675817871093749,True,REGULAR,USD
20,SPY210305C00338000,2021-02-24 20:50:35,338.0,46.35,38.77,39.36,0.0,0.0,4.0,11,1.1875040625,True,REGULAR,USD
21,SPY210305C00339000,2021-03-03 19:22:11,339.0,43.66,37.76,38.36,0.0,0.0,12.0,15,1.158207333984375,True,REGULAR,USD
22,SPY210305C00340000,2021-03-04 17:37:15,340.0,35.59,36.76,37.36,-7.0699997,-16.5729,8.0,51,1.1318402783203125,True,REGULAR,USD
23,SPY210305C00342000,2021-02-24 20:09:21,342.0,40.23,34.77,35.36,-9.25,-18.694422,5.0,2,1.0810592822265626,True,REGULAR,USD
24,SPY210305C00343000,2021-03-04 18:43:31,343.0,32.2,33.77,34.36,-7.4399986,-18.768917,4.0,19,1.0546922265625,True,REGULAR,USD
25,SPY210305C00344000,2021-03-02 20:49:24,344.0,38.63,32.78,33.37,0.0,0.0,4.0,10,1.0332079589843752,True,REGULAR,USD
26,SPY210305C00345000,2021-03-04 18:22:04,345.0,29.96,31.91,32.37,-8.07,-21.220089,6.0,54,1.040043862304688,True,REGULAR,USD
27,SPY210305C00346000,2021-03-01 15:05:51,346.0,35.6,30.77,31.37,-3.380001,-8.671116,1.0,4,0.9765627343750001,True,REGULAR,USD
28,SPY210305C00347000,2021-03-04 18:53:47,347.0,29.79,29.79,30.37,-7.579998,-20.283646,10.0,16,0.95507857421875,True,REGULAR,USD
29,SPY210305C00348000,2021-02-16 15:14:34,348.0,33.84,28.77,29.37,-11.880001,-25.984255,8.0,1,0.922852333984375,True,REGULAR,USD
30,SPY210305C00350000,2021-03-04 19:15:55,350.0,24.69,26.78,27.38,-8.65,-25.94481,39.0,77,0.8740246972656249,True,REGULAR,USD
31,SPY210305C00351000,2021-02-19 15:22:28,351.0,36.14,25.77,26.38,0.0,0.0,3.0,4,0.8447281152343749,True,REGULAR,USD
32,SPY210305C00352000,2021-03-04 19:41:57,352.0,23.8,24.79,25.38,-6.6900005,-21.941622,6.0,16,0.82226740234375,True,REGULAR,USD
33,SPY210305C00352500,2021-02-26 14:53:40,352.5,31.18,24.3,24.89,0.0,0.0,4.0,8,0.8125018749999999,True,REGULAR,USD
34,SPY210305C00353000,2021-02-09 15:10:38,353.0,32.0,23.96,24.16,0.0,0.0,4.0,7,0.7832052929687501,True,REGULAR,USD
35,SPY210305C00354000,2021-03-04 20:23:33,354.0,22.1,22.97,23.17,-6.41,-22.48334,48.0,4,0.7607445800781252,True,REGULAR,USD
36,SPY210305C00355000,2021-03-02 19:35:53,355.0,21.18,21.95,22.18,-6.4699993,-23.399635,22.0,50,0.7309597216796875,True,REGULAR,USD
37,SPY210305C00356000,2021-03-04 19:27:29,356.0,21.16,20.98,21.19,-7.83,-27.009314,20.0,61,0.711916943359375,True,REGULAR,USD
38,SPY210305C00357000,2021-03-03 19:57:56,357.0,24.02,19.99,20.19,-1.9699993,-7.5798354,4.0,18,0.6865265722656251,True,REGULAR,USD
39,SPY210305C00357500,2021-02-26 14:48:16,357.5,27.36,19.49,19.7,0.0,0.0,1.0,20,0.6738313867187502,True,REGULAR,USD
40,SPY210305C00358000,2021-03-04 20:28:27,358.0,17.6,18.98,19.2,-8.369999,-32.229492,11.0,19,0.65820654296875,True,REGULAR,USD
41,SPY210305C00359000,2021-03-01 14:32:47,359.0,15.84,18.01,18.22,-9.200001,-36.741215,80.0,10,0.639652041015625,True,REGULAR,USD
42,SPY210305C00360000,2021-03-04 21:14:30,360.0,17.1,17.03,17.23,-4.5,-20.833332,654.0,239,0.6162147753906251,True,REGULAR,USD
