,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/5/31,43.09911728,1775.069946,177.4700012,1103.630005,343.2799988,43.76750183,1775.069946,177.4700012,1103.630005,343.2799988,44.49750137,1795.589966,180.5399933,1109.599976,349.3399963,43.74750137,1772.699951,177.1600037,1100.180054,342.9200134,44.05749893,1790.01001,180.2799988,1101.290039,347.2200012,108174400,4618800,15226500,1507800,5023400
2019/6/3,42.66337585,1692.689941,164.1499939,1036.22998,336.6300049,43.32500076,1692.689941,164.1499939,1036.22998,336.6300049,44.47999954,1766.290039,175.0500031,1065.5,347.6600037,42.56750107,1672,161.0099945,1025,332.6499939,43.90000153,1760.01001,175,1065.5,343.5599976,161584400,9098700,56059600,5130600,7849600
2019/6/4,44.2241745,1729.560059,167.5,1053.050049,353.3999939,44.90999985,1729.560059,167.5,1053.050049,353.3999939,44.95750046,1730.819946,168.2799988,1056.050049,353.6099854,43.63000107,1680.890015,160.8399963,1033.689941,343.25,43.86000061,1699.23999,163.7100067,1042.900024,345,123872000,5679100,46044300,2833500,7891600
2019/6/5,44.93809891,1738.5,168.1699982,1042.219971,355.730011,45.63499832,1738.5,168.1699982,1042.219971,355.730011,46.24750137,1752,168.7200012,1053.550049,357.8800049,45.28499985,1715.25,164.6300049,1030.48999,348.7099915,46.06999969,1749.599976,167.4799957,1051.540039,354.3800049,119093600,4239800,19758300,2168400,5020100
2019/6/6,45.59786606,1754.359985,168.3300018,1044.339966,357.1300049,46.30500031,1754.359985,168.3300018,1044.339966,357.1300049,46.36750031,1760,169.6999969,1047.48999,358.2099915,45.53749847,1726.130005,167.2299957,1033.699951,352.0899963,45.77000046,1737.709961,168.3000031,1044.98999,354.8399963,90105200,3689300,12446400,1703200,3710000
2019/6/7,46.81155014,1804.030029,173.3500061,1066.040039,360.8699951,47.53749847,1804.030029,173.3500061,1066.040039,360.8699951,47.97999954,1806.25,173.8699951,1070.920044,365.1499939,46.44250107,1759.48999,168.8399963,1048.400024,355.6900024,46.62749863,1763.699951,170.1699982,1050.630005,357.3900146,122737600,4808200,16917300,1802400,4777300
2019/6/10,47.40976715,1860.630005,174.8200073,1080.380005,352.0100098,48.14500046,1860.630005,174.8200073,1080.380005,352.0100098,48.84249878,1884.869995,177.8600006,1092.660034,367.1000061,47.90499878,1818,173.8000031,1072.322021,349.2900085,47.95249939,1822,174.75,1072.97998,363.6499939,104883600,5371000,14767900,1464200,7810300
2019/6/11,47.95875168,1863.699951,178.1000061,1078.719971,351.269989,48.70249939,1863.699951,178.1000061,1078.719971,351.269989,49,1893.699951,179.9799957,1101.98999,357.5799866,48.40000153,1858,176.7899933,1077.603027,348.5,48.71500015,1883.25,178.4799957,1093.97998,355,107731600,4042700,15266600,1436700,5396700
2019/6/12,47.80612564,1855.319946,175.0399933,1077.030029,345.5599976,48.54750061,1855.319946,175.0399933,1077.030029,345.5599976,48.99250031,1865,179.2700043,1080.930054,353.6099854,48.34749985,1844.380005,172.8800049,1067.540039,343.230011,48.48749924,1853.97998,178.3800049,1078,351.8200073,73012800,2678300,17699800,1061000,4584700
2019/6/13,47.79627228,1870.300049,177.4700012,1088.77002,343.4299927,48.53749847,1870.300049,177.4700012,1088.77002,343.4299927,49.19749832,1883.089966,178.0299988,1094.170044,348.5,48.40000153,1862.219971,174.6100006,1080.150024,339.25,48.67499924,1866.719971,175.5299988,1083.640015,347.230011,86698400,2795800,12253600,1057700,6209300
2019/6/14,47.4491539,1869.670044,181.3300018,1085.349976,339.730011,48.18500137,1869.670044,181.3300018,1085.349976,339.730011,48.39749908,1876,181.8399963,1092.689941,343.3999939,47.57500076,1859,180,1080.171997,336.1600037,47.88750076,1864,180.5099945,1086.420044,341.6300049,75046000,2851200,16773700,1111500,5019000
2019/6/17,47.73226929,1886.030029,189.0099945,1092.5,350.6199951,48.47249985,1886.030029,189.0099945,1092.5,350.6199951,48.74000168,1895.689941,189.5,1099.180054,351.769989,48.04249954,1875.449951,184.4100037,1086.280029,342.0599976,48.22499847,1876.5,185.0099945,1086.280029,342.6900024,58676400,2634300,29459900,941600,5358200
2019/6/18,48.8548584,1901.369995,188.4700012,1103.599976,357.1199951,49.61249924,1901.369995,188.4700012,1103.599976,357.1199951,50.07249832,1921.670044,194.5299988,1116.390015,361.5,48.80250168,1899.790039,187.2799988,1098.98999,353.75,49.01250076,1901.349976,194,1109.689941,355.5700073,106204000,3895700,37571400,1386700,5428500
