,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY210305P00190000,2021-03-03 21:11:56,190.0,0.01,0.0,0.01,0.0,0.0,1.0,3179,3.8750003125,False,REGULAR,USD
1,SPY210305P00195000,2021-02-26 15:27:37,195.0,0.01,0.0,0.01,0.0,0.0,20.0,4620,3.750000625,False,REGULAR,USD
2,SPY210305P00200000,2021-02-19 14:30:07,200.0,0.01,0.0,0.01,0.0,0.0,2.0,1156,3.6250009375000003,False,REGULAR,USD
3,SPY210305P00205000,2021-02-18 17:36:12,205.0,0.01,0.0,0.01,0.0,0.0,10.0,1300,3.50000125,False,REGULAR,USD
4,SPY210305P00210000,2021-02-26 14:31:01,210.0,0.01,0.0,0.01,0.0,0.0,1.0,417,3.3125017187499997,False,REGULAR,USD
5,SPY210305P00215000,2021-02-26 16:10:20,215.0,0.01,0.0,0.01,0.0,0.0,25.0,1231,3.1875020312499998,False,REGULAR,USD
6,SPY210305P00220000,2021-02-25 20:38:26,220.0,0.02,0.0,0.01,0.0,0.0,10.0,1216,3.06250234375,False,REGULAR,USD
7,SPY210305P00225000,2021-02-26 19:06:46,225.0,0.01,0.0,0.01,0.0,0.0,7.0,335,2.93750265625,False,REGULAR,USD
8,SPY210305P00230000,2021-03-01 14:30:00,230.0,0.01,0.0,0.01,0.0,0.0,40.0,387,2.81250296875,False,REGULAR,USD
9,SPY210305P00235000,2021-02-26 20:15:02,235.0,0.01,0.0,0.01,0.0,0.0,2.0,288,2.750003125,False,REGULAR,USD
10,SPY210305P00240000,2021-02-26 19:13:56,240.0,0.02,0.0,0.01,0.0,0.0,177.0,1034,2.6250034375,False,REGULAR,USD
11,SPY210305P00245000,2021-02-26 20:26:26,245.0,0.01,0.0,0.01,0.0,0.0,63.0,258,2.50000375,False,REGULAR,USD
12,SPY210305P00250000,2021-03-01 14:30:05,250.0,0.01,0.0,0.01,0.0,0.0,1.0,1112,2.3750040624999995,False,REGULAR,USD
13,SPY210305P00255000,2021-02-26 15:45:29,255.0,0.04,0.0,0.01,0.0,0.0,11.0,489,2.2500043749999996,False,REGULAR,USD
14,SPY210305P00260000,2021-02-26 20:49:26,260.0,0.01,0.0,0.01,-0.01,-50.0,1.0,759,2.1875045312499997,False,REGULAR,USD
15,SPY210305P00265000,2021-03-04 21:00:22,265.0,0.01,0.0,0.01,-0.04,-79.99999,28.0,662,2.0625048437499998,False,REGULAR,USD
