Date,AMD,CSCO,INTC,INTU,NVDA
2017/1/3,11.43,25.985624,31.973,110.028526,25.166451
2017/1/4,11.43,25.831152,31.807018,110.249046,25.753607
2017/1/5,11.24,25.891224,31.754604,110.929825,25.09984
2017/1/6,11.32,25.942715,31.868174,112.381981,25.43536
2017/1/9,11.49,25.899811,31.981735,112.045395,26.466593
2017/1/10,11.44,26.071444,31.92058,111.660713,26.266762
2017/1/11,11.2,25.874063,32.278759,111.920349,25.943573
2017/1/12,10.76,25.779667,32.069092,112.555077,25.519238
2017/1/13,10.58,25.805407,32.138973,112.612778,25.516771
2017/1/17,9.82,25.736752,32.147705,111.641472,24.94441
2017/1/18,9.88,25.771078,32.112774,111.352989,25.398352
2017/1/19,9.77,25.728172,31.946795,111.506836,25.943573
2017/1/20,9.75,25.831152,32.270012,112.612778,25.659859
2017/1/23,9.91,25.977043,32.121502,112.612778,25.926302
2017/1/24,10.44,26.260242,32.864052,114.199539,26.478922
2017/1/25,10.35,26.346064,33.02129,115.411278,26.592405
2017/1/26,10.52,26.380386,32.811638,113.920662,27.051279
2017/1/27,10.67,26.586349,33.178535,114.0457,27.574297
2017/1/30,10.61,26.457617,32.689331,113.987991,27.142563
2017/1/31,10.37,26.363222,32.165184,114.036095,26.935326
2017/2/1,12.06,26.174427,31.903114,113.199409,28.112114
2017/2/2,12.28,26.757984,32.042889,113.314812,28.467373
2017/2/3,12.24,26.878132,32.130871,113.834129,28.218201
2017/2/6,13.63,26.860964,31.910919,113.372505,28.94105
2017/2/7,13.29,26.989693,31.981293,112.978218,29.390049
2017/2/8,13.56,26.835222,32.007694,112.083862,29.261763
2017/2/9,13.42,27.032598,31.198259,111.641472,28.711609
2017/2/10,13.58,27.041182,31.092678,113.026306,28.030701
2017/2/13,13.49,27.435946,31.4974,113.862961,26.737965
2017/2/14,13.26,27.727724,31.611774,114.28611,26.836645
2017/2/15,13.3,28.16539,31.717358,114.391891,26.890923
2017/2/16,12.97,28.834774,32.034096,114.670792,26.459188
2017/2/17,13.13,28.954922,32.095669,115.267014,26.454254
2017/2/21,14,29.289606,32.130871,115.276627,27.401592
2017/2/22,14.28,29.25528,31.734951,114.8535,27.359606
2017/2/23,14.32,29.212378,31.831728,116.074837,24.822746
2017/2/24,14.12,29.452663,32.139664,123.104706,25.062346
2017/2/27,15.2,29.401173,32.122066,121.027504,25.79105
2017/2/28,14.46,29.332521,31.849329,120.633202,25.067295
2017/3/1,14.96,29.555639,31.611774,119.75808,25.390884
2017/3/2,13.9,29.512739,31.594185,120.373535,24.454687
2017/3/3,13.03,29.42692,31.585388,121.604485,24.313881
2017/3/6,13.04,29.341106,31.295042,121.267899,24.126156
2017/3/7,13.05,29.34968,31.4974,120.594719,24.390463
2017/3/8,13.22,29.19521,31.339035,120.787079,24.345999
2017/3/9,13.33,29.238113,31.514999,119.979256,24.341061
2017/3/10,13.91,29.401173,31.594185,120.152359,24.484331
2017/3/13,14.28,29.263863,30.934315,120.161972,25.15868
2017/3/14,14.1,29.281023,30.951906,119.546486,25.141394
2017/3/15,13.98,29.384008,30.881533,119.892693,25.3316
2017/3/16,13.65,29.375425,30.916723,119.584953,25.642839
